default_status,cash,accounts_receivable,inventory,total_current_assets,fixed_assets,total_non_current_assets,total_assets,short_term_debt,accounts_payable,total_non_current_liabilities,total_equity,report_period,year,month,revenue,cost_of_sales,finance_expense,asset_impairment_loss,operating_profit,total_profit,net_profit,default_year,default_month,impairment_ratio,net_profit_margin,company_id
1,981267916.3,736337896.2,759796580,2866778352,470280713.4,695250438.8,3562028791,385000000,31679110.79,1421530129,2113440705,1,2016,9,796553972,613906259.5,10380033.32,25101980.51,37839580.46,39578098.77,36950366.41,2019,11,0.011877305,0.046387775,COMPANY_0001
1,761775276.9,930857840.5,1039736018,3131481443,597960867.5,981658918.8,4113140362,500600000,51770188.65,1896826178,2163640973,1,2016,12,1693500374,1296851176,12997909.42,52316076.05,99995048.85,104727518,87150634.43,2019,11,0.024179648,0.051461834,COMPANY_0002
1,3860771526,3865158361,3863257268,15546739784,2878995913,14572870660,30119610443,2099110000,75097835.88,14633603597,13976503977,1,2017,6,5786592752,4773293005,44603650.68,31120250.42,301686045.5,310621714.2,222296966.3,2019,11,0.002226612,0.038415865,COMPANY_0003
1,6023179952,4655022486,3015291500,18156444281,3096536369,15015363991,33171808272,1841610000,179413133.1,14990471090,16808688502,1,2017,12,20804317034,16899690112,108629074.7,54450754.89,1369622474,1372680852,1136677396,2019,11,0.003239441,0.054636612,COMPANY_0004
1,4652647272,4989179472,3782808844,17325316605,2993541568,14961492431,32286809036,2071599900,83767793.05,14035449058,16949919387,1,2018,3,5445618512,4463943213,54116395.59,14956.56,186296407.9,187822331.9,141200971.5,2019,11,8.82397E-07,0.025929281,COMPANY_0005
1,3978349409,5265471384,2858591800,16678133709,3389811213,14978265699,31656399408,1415600000,97087307.88,13350259934,17082916617,1,2018,6,10250693951,8414045227,53605171.94,32098873.41,402432965.2,404153916.2,304794099.1,2019,11,0.001879004,0.029733997,COMPANY_0006
1,4314953254,6218774242,2409656938,17333117661,4044432550,15145991520,32479109182,2155897900,155023715.8,14234488716,17579038315,1,2018,12,14764439522,12765227993,204221253.6,564068964.6,-1355517317,663960004.9,800764883.4,2019,11,0.032087589,0.05423605,COMPANY_0007
1,2898455166,6868903474,2629189184,16941391229,3809525175,15128447221,32069838450,2050897900,161742069,13750898830,17685151746,1,2019,3,3969077632,3332971120,41915610.74,0,136454963.6,140906712,106113431.2,2019,11,0,0.026735035,COMPANY_0008
1,3116988603,5639726400,2649834804,15298389227,3911193904,15232729778,30531119005,1849797900,156851332.4,12627116846,17289823241,1,2019,6,5040359921,4334361363,82538004.53,39029177.74,-298064969.1,-299856607.9,-289215074.3,2019,11,0.00225735,-0.057379846,COMPANY_0009
1,2077862597,5399656271,2537145533,14113394690,4230070518,16738398908,30851793598,4844797900,107719070.3,13433481370,16822130325,1,2019,9,5401332058,4695483662,478702155.5,36085163.52,-786904575.3,-784617507.1,-758442447.8,2019,11,0.002145101,-0.140417667,COMPANY_0010
